itemid,type,baseprice
0,Bowl,8.30
1,Bowl,8.30
2,Bowl,8.30
3,Bowl,8.30
4,Bowl,9.80
5,Bowl,9.80
6,Bowl,9.80
7,Bowl,9.80
8,Bowl,9.80
9,Bowl,9.80
10,Bowl,9.80
11,Bowl,9.80
12,Bowl,8.30
13,Bowl,8.30
14,Bowl,8.30
15,Bowl,8.30
16,Bowl,8.30
17,Bowl,8.30
18,Bowl,8.30
19,Bowl,8.30
20,Bowl,8.30
21,Bowl,8.30
22,Bowl,8.30
23,Bowl,8.30
24,Bowl,8.30
25,Bowl,8.30
26,Bowl,8.30
27,Bowl,8.30
28,Bowl,8.30
29,Bowl,8.30
30,Bowl,8.30
31,Bowl,8.30
32,Bowl,8.30
33,Bowl,8.30
34,Bowl,8.30
35,Bowl,8.30
36,Bowl,8.30
37,Bowl,8.30
38,Bowl,8.30
39,Bowl,8.30
40,Bowl,8.30
41,Bowl,8.30
42,Bowl,8.30
43,Bowl,8.30
44,Bowl,8.30
45,Bowl,8.30
46,Bowl,8.30
47,Bowl,8.30
48,Plate,9.80
49,Plate,9.80
50,Plate,9.80
51,Plate,9.80
52,Plate,9.80
53,Plate,9.80
54,Plate,9.80
55,Plate,9.80
56,Plate,9.80
57,Plate,9.80
58,Plate,9.80
59,Plate,9.80
60,Plate,9.80
61,Plate,9.80
62,Plate,9.80
63,Plate,9.80
64,Plate,11.30
65,Plate,11.30
66,Plate,11.30
67,Plate,11.30
68,Plate,11.30
69,Plate,11.30
70,Plate,11.30
71,Plate,11.30
72,Plate,11.30
73,Plate,11.30
74,Plate,11.30
75,Plate,11.30
76,Plate,11.30
77,Plate,11.30
78,Plate,11.30
79,Plate,11.30
80,Plate,11.30
81,Plate,11.30
82,Plate,11.30
83,Plate,11.30
84,Plate,11.30
85,Plate,11.30
86,Plate,11.30
87,Plate,11.30
88,Plate,11.30
89,Plate,11.30
90,Plate,11.30
91,Plate,11.30
92,Plate,11.30
93,Plate,11.30
94,Plate,11.30
95,Plate,11.30
96,Plate,9.80
97,Plate,9.80
98,Plate,9.80
99,Plate,9.80
100,Plate,9.80
101,Plate,9.80
102,Plate,9.80
103,Plate,9.80
104,Plate,9.80
105,Plate,9.80
106,Plate,9.80
107,Plate,9.80
108,Plate,9.80
109,Plate,9.80
110,Plate,9.80
111,Plate,9.80
112,Plate,9.80
113,Plate,9.80
114,Plate,9.80
115,Plate,9.80
116,Plate,9.80
117,Plate,9.80
118,Plate,9.80
119,Plate,9.80
120,Plate,9.80
121,Plate,9.80
122,Plate,9.80
123,Plate,9.80
124,Plate,9.80
125,Plate,9.80
126,Plate,9.80
127,Plate,9.80
128,Plate,9.80
129,Plate,9.80
130,Plate,9.80
131,Plate,9.80
132,Plate,9.80
133,Plate,9.80
134,Plate,9.80
135,Plate,9.80
136,Plate,9.80
137,Plate,9.80
138,Plate,9.80
139,Plate,9.80
140,Plate,9.80
141,Plate,9.80
142,Plate,9.80
143,Plate,9.80
144,Plate,9.80
145,Plate,9.80
146,Plate,9.80
147,Plate,9.80
148,Plate,9.80
149,Plate,9.80
150,Plate,9.80
151,Plate,9.80
152,Plate,9.80
153,Plate,9.80
154,Plate,9.80
155,Plate,9.80
156,Plate,9.80
