orderid,totalcost,orderdate
57815,12.90,2024-10-11 12:25:07
57834,5.40,2024-10-16 13:57:59
57816,8.30,2024-10-11 15:16:30
57817,28.00,2024-10-11 15:21:49
57835,5.40,2024-10-16 14:00:01
57818,22.60,2024-10-11 17:06:47
57819,39.60,2024-10-11 17:07:20
57820,50.90,2024-10-11 17:07:39
57821,59.40,2024-10-11 17:07:47
57822,72.10,2024-10-11 17:08:04
57836,5.40,2024-10-16 14:01:53
57823,11.30,2024-10-11 17:22:29
57824,19.60,2024-10-11 17:22:35
57837,4.40,2024-10-16 14:03:47
57825,9.80,2024-10-11 17:27:29
57838,4.40,2024-10-16 14:04:38
57826,4.40,2024-10-11 17:43:28
57839,4.40,2024-10-16 14:05:59
57827,8.30,2024-10-11 19:18:56
57840,4.40,2024-10-16 14:06:34
57828,8.30,2024-10-11 19:20:13
57841,4.40,2024-10-16 14:08:26
57829,30.80,2024-10-11 19:41:27
57842,4.40,2024-10-16 14:09:53
57843,12.70,2024-10-16 14:10:29
57844,24.00,2024-10-16 14:10:50
57845,28.40,2024-10-16 14:12:05
57846,38.20,2024-10-16 14:12:15
57830,8.30,2024-10-11 19:52:30
57847,4.40,2024-10-16 14:14:07
57848,12.90,2024-10-16 14:14:18
57849,21.20,2024-10-16 14:14:33
57831,10.00,2024-10-11 19:59:45
57850,4.40,2024-10-16 14:15:25
57832,27.70,2024-10-11 20:11:25
57851,4.40,2024-10-16 14:16:32
57852,4.40,2024-10-16 14:16:47
57833,12.30,2024-10-11 20:21:02
57853,4.40,2024-10-16 14:17:31
57854,8.50,2024-10-16 14:20:58
57855,8.50,2024-10-16 14:21:09
57856,8.30,2024-10-16 14:26:19
57857,8.30,2024-10-16 14:26:44
57858,8.30,2024-10-16 14:27:16
57859,4.40,2024-10-16 14:28:26
57860,8.30,2024-10-16 14:32:27
57861,8.30,2024-10-16 14:33:24
57862,11.30,2024-10-16 14:36:22
57863,8.30,2024-10-16 14:36:44
57864,8.80,2024-10-16 14:37:19
57865,8.30,2024-10-16 14:45:52
57866,5.20,2024-10-16 14:46:03
57867,8.50,2024-10-16 14:46:18
57868,11.30,2024-10-16 14:46:30
57869,8.30,2024-10-16 14:48:51
57870,5.40,2024-10-16 14:49:59
57871,20.03,2024-10-16 16:20:48
57872,36.10,2024-10-16 16:24:35
57873,61.40,2024-10-16 16:40:03
57874,10.80,2024-10-16 16:43:10
57875,51.70,2024-10-16 16:52:16
57876,48.00,2024-10-16 16:56:40
57877,23.70,2024-10-16 16:59:31
57878,75.80,2024-10-16 17:26:30
57879,4.40,2024-10-17 23:10:38
57880,20.60,2024-10-17 23:12:09
57881,35.20,2024-10-17 23:20:47
57882,11.30,2024-10-17 23:21:57
57883,30.90,2024-10-18 14:31:38
57884,11.20,2024-10-18 14:32:28
57885,10.80,2024-10-18 14:36:09
57886,73.20,2024-10-18 14:42:53
57887,11.30,2024-10-18 14:45:56
57888,11.30,2024-10-18 14:47:00
57889,5.40,2024-10-18 14:50:23
57890,5.40,2024-10-18 14:51:15
57891,5.40,2024-10-18 14:54:31
57892,5.40,2024-10-18 14:55:09
57893,5.40,2024-10-18 15:20:39
57894,5.40,2024-10-18 15:32:24
57895,5.40,2024-10-18 15:35:38
