orderid,item,itemid
57815,5372,1
57815,5353,2
57834,30041,3
57816,5,4
57817,5,5
57817,5344,6
57817,5345,7
57835,30041,8
57818,3003,9
57818,25195,10
57819,3003,11
57819,25195,12
57819,30011,13
57819,30017,14
57820,3003,15
57820,25195,16
57820,30011,17
57820,30017,18
57820,474,19
57821,3003,20
57821,25195,21
57821,30011,22
57821,30017,23
57821,474,24
57821,30017,25
57822,3003,26
57822,25195,27
57822,30011,28
57822,30017,29
57822,474,30
57822,30017,31
57822,5514,32
57836,30041,33
57823,277,34
57824,277,35
57824,19,36
57837,30040,37
57825,699,38
57838,30040,39
57826,30038,40
57839,30040,41
57827,30045,42
57840,30040,43
57828,30045,44
57841,30040,45
57829,10,46
57829,742,47
57829,30000,48
57842,30040,49
57843,30040,50
57843,23,51
57844,30040,52
57844,23,53
57844,12467,54
57845,30040,55
57845,23,56
57845,12467,57
57845,30038,58
57846,30040,59
57846,23,60
57846,12467,61
57846,30038,62
57846,902,63
57830,30045,64
57847,30038,65
57848,30038,66
57848,30017,67
57849,30038,68
57849,30017,69
57849,39,70
57831,30044,71
57850,30040,72
57832,15,73
57832,906,74
57832,30001,75
57832,30038,76
57851,30038,77
57852,30040,78
57833,30046,79
57833,30047,80
57853,30040,81
57854,30020,82
57855,30011,83
57856,20,84
57857,27,85
57858,32,86
57859,30040,87
57860,26,88
57861,27,89
57862,12431,90
57863,26,91
57864,30038,92
57864,30036,93
57865,23,94
57866,30016,95
57867,30011,96
57868,17435,97
57869,22,98
57870,30041,99
57871,30005,100
57871,30023,101
57872,30020,102
57872,30033,103
57872,30016,104
57872,30009,105
57873,30039,106
57873,30021,107
57873,30030,108
57873,30027,109
57873,30012,110
57873,30021,111
57874,30037,112
57874,30041,113
57875,19952,114
57875,30003,115
57875,30022,116
57875,30036,117
57875,47,118
57875,2147,119
57876,30006,120
57876,30042,121
57876,39,122
57876,22475,123
57876,363,124
57877,30017,125
57877,30037,126
57877,10,127
57878,17429,128
57878,8,129
57878,25,130
57878,30048,131
57878,9905,132
57878,30006,133
57878,30027,134
57878,30030,135
57879,30036,136
57880,30037,137
57880,30041,138
57880,8,139
57881,1930,140
57881,30006,141
57881,7408,142
57882,12405,143
57883,12405,144
57883,1930,145
57883,1930,146
57884,30009,147
57885,30039,148
57885,30039,149
57886,30039,150
57886,9893,151
57886,9893,152
57886,9888,153
57886,12405,154
57886,12405,155
57886,12405,156
57887,12405,157
57888,12405,158
57889,30037,159
57890,30039,160
57891,30039,161
57892,30039,162
57893,30041,163
57894,30039,164
57895,30039,165
57896,30039,166
57897,30039,167
57898,30039,168
57898,30037,169
57899,30039,170
57899,30037,171
57899,30041,172
57900,30041,173
57901,30041,174
57902,30039,175
57903,30039,176
57904,30037,177
57905,30039,178
57906,30037,179
57907,30039,180
57908,30039,181
57909,30037,182
57910,30037,183
57911,30039,184
57912,30041,185
57913,30039,186
57914,30043,187
57915,30041,188
57916,30039,189
57917,30039,190
57917,30043,191
57918,30039,192
57919,30039,193
57920,30041,194
57921,30039,195
57922,30039,196
57922,30039,197
57923,30039,198
57924,30037,199
57925,30037,200
57925,30041,201
57926,30039,202
57927,30039,203
57927,30041,204
57928,30039,205
57928,30041,206
57928,30041,207
57929,30039,208
57929,30041,209
57929,30041,210
57929,30037,211
57930,30037,212
57931,30037,213
57932,30037,214
57933,30037,215
57933,30039,216
57934,30037,217
57934,30039,218
57934,30041,219
57935,30039,220
57936,30039,221
57936,30039,222
57937,30039,223
57937,30039,224
57937,30041,225
57938,30039,226
57938,30039,227
57938,30041,228
57938,30043,229
57939,30039,230
57940,30037,231
57941,30037,232
57941,30041,233
57942,30039,234
57943,30039,235
57943,30041,236
57944,30039,237
57944,30041,238
57944,30037,239
57945,30039,240
57945,30041,241
57945,30037,242
57945,30037,243
57946,30039,244
57946,30041,245
57946,30037,246
57946,30037,247
57946,30041,248
57947,30039,249
57947,30041,250
57947,30037,251
57947,30037,252
57947,30041,253
57947,30043,254
57948,30039,255
57948,30041,256
57948,30037,257
57948,30037,258
57948,30041,259
57948,30043,260
57948,30041,261
57949,30039,262
57950,30039,263
57951,30039,264
57951,30041,265
57952,30039,266
57952,30041,267
57952,30041,268
57953,30039,269
57953,30041,270
57953,30041,271
57953,30041,272
57954,30039,273
57954,30041,274
57954,30041,275
57954,30041,276
57954,30043,277
57955,30036,278
57956,30038,279
57957,30036,280
57958,30038,281
57959,30036,282
57960,30041,283
57961,30036,284
57961,30039,285
57962,30040,286
57963,30039,287
57964,30037,288
57965,30037,289
57965,30041,290
57966,30037,291
57967,30041,292
57968,30041,293
57969,30043,294
57970,30037,295
57971,30036,296
57972,30008,297
57973,30040,298
57974,30037,299
57975,30039,300
57976,17429,301
57977,30027,302
57978,30043,303
57978,30041,304
57978,7386,305
57979,30039,306
57980,30029,307
57981,30029,308
57982,30055,309
57982,30043,310
57983,30057,311
57983,30058,312
57983,30059,313
57984,30055,314
