ItemId,Type_,BasePrice,items
0,Bowl,8.3,"{Original Orange Chicken,Super Greens}"
1,Bowl,9.8,"{Black Pepper Sirloin Steak,Chow Mein}"
2,Bowl,9.8,"{Honey Walnut Shrimp,Fried Rice}"
3,Bowl,8.3,"{Teriyaki Chicken,White Rice}"
4,Bowl,8.3,"{Broccoli Beef,Super Greens}"
5,Bowl,8.3,"{Kung Pao Chicken,Chow Mein}"
6,Bowl,8.3,"{Honey Sesame Chicken Breast,Fried Rice}"
7,Bowl,8.3,"{Beijing Beef,White Rice}"
8,Bowl,8.3,"{Mushroom Chicken,Super Greens}"
9,Bowl,8.3,"{SweetFire Chicken Breast,Chow Mein}"
10,Bowl,8.3,"{String Bean Chicken Breast,Fried Rice}"
11,Bowl,8.3,"{Black Pepper Chicken,White Rice}"
12,Bowl,8.3,"{Original Orange Chicken,Super Greens}"
13,Bowl,9.8,"{Black Pepper Sirloin Steak,Chow Mein}"
14,Bowl,9.8,"{Honey Walnut Shrimp,Fried Rice}"
15,Bowl,8.3,"{Teriyaki Chicken,White Rice}"
16,Bowl,8.3,"{Broccoli Beef,Super Greens}"
17,Bowl,8.3,"{Kung Pao Chicken,Chow Mein}"
18,Bowl,8.3,"{Honey Sesame Chicken Breast,Fried Rice}"
19,Bowl,8.3,"{Beijing Beef,White Rice}"
20,Bowl,8.3,"{Mushroom Chicken,Super Greens}"
21,Bowl,8.3,"{SweetFire Chicken Breast,Chow Mein}"
22,Bowl,8.3,"{String Bean Chicken Breast,Fried Rice}"
23,Bowl,8.3,"{Black Pepper Chicken,White Rice}"
24,Bowl,8.3,"{Original Orange Chicken,Super Greens}"
25,Bowl,9.8,"{Black Pepper Sirloin Steak,Chow Mein}"
26,Bowl,9.8,"{Honey Walnut Shrimp,Fried Rice}"
27,Bowl,8.3,"{Teriyaki Chicken,White Rice}"
28,Bowl,8.3,"{Broccoli Beef,Super Greens}"
29,Bowl,8.3,"{Kung Pao Chicken,Chow Mein}"
30,Bowl,8.3,"{Honey Sesame Chicken Breast,Fried Rice}"
31,Bowl,8.3,"{Beijing Beef,White Rice}"
32,Bowl,8.3,"{Mushroom Chicken,Super Greens}"
33,Bowl,8.3,"{SweetFire Chicken Breast,Chow Mein}"
34,Bowl,8.3,"{String Bean Chicken Breast,Fried Rice}"
35,Bowl,8.3,"{Black Pepper Chicken,White Rice}"
36,Bowl,8.3,"{Original Orange Chicken,Super Greens}"
37,Bowl,9.8,"{Black Pepper Sirloin Steak,Chow Mein}"
38,Bowl,9.8,"{Honey Walnut Shrimp,Fried Rice}"
39,Bowl,8.3,"{Teriyaki Chicken,White Rice}"
40,Bowl,8.3,"{Broccoli Beef,Super Greens}"
41,Bowl,8.3,"{Kung Pao Chicken,Chow Mein}"
42,Bowl,8.3,"{Honey Sesame Chicken Breast,Fried Rice}"
43,Bowl,8.3,"{Beijing Beef,White Rice}"
44,Bowl,8.3,"{Mushroom Chicken,Super Greens}"
45,Bowl,8.3,"{SweetFire Chicken Breast,Chow Mein}"
46,Bowl,8.3,"{String Bean Chicken Breast,Fried Rice}"
47,Bowl,8.3,"{Black Pepper Chicken,White Rice}"
48,Bowl,8.3,"{Original Orange Chicken,Super Greens}"
49,Bowl,9.8,"{Black Pepper Sirloin Steak,Chow Mein}"
50,Bowl,9.8,"{Honey Walnut Shrimp,Fried Rice}"
51,Bowl,8.3,"{Teriyaki Chicken,White Rice}"
52,Plate,9.8,"{Original Orange Chicken,Original Orange Chicken,Super Greens,Super Greens}"
53,Plate,11.3,"{Original Orange Chicken,Black Pepper Sirloin Steak,Super Greens,Chow Mein}"
54,Plate,11.3,"{Original Orange Chicken,Honey Walnut Shrimp,Super Greens,Fried Rice}"
55,Plate,9.8,"{Original Orange Chicken,Teriyaki Chicken,Super Greens,White Rice}"
56,Plate,9.8,"{Original Orange Chicken,Broccoli Beef,Chow Mein,Chow Mein}"
57,Plate,9.8,"{Original Orange Chicken,Kung Pao Chicken,Chow Mein,Fried Rice}"
58,Plate,9.8,"{Original Orange Chicken,Honey Sesame Chicken Breast,Chow Mein,White Rice}"
59,Plate,9.8,"{Original Orange Chicken,Beijing Beef,Fried Rice,Fried Rice}"
60,Plate,9.8,"{Original Orange Chicken,Mushroom Chicken,Fried Rice,White Rice}"
61,Plate,9.8,"{Original Orange Chicken,SweetFire Chicken Breast,White Rice,White Rice}"
62,Plate,9.8,"{Original Orange Chicken,String Bean Chicken Breast,Super Greens,Super Greens}"
63,Plate,9.8,"{Original Orange Chicken,Black Pepper Chicken,Super Greens,Chow Mein}"
64,Plate,11.3,"{Black Pepper Sirloin Steak,Black Pepper Sirloin Steak,Super Greens,Fried Rice}"
65,Plate,11.3,"{Black Pepper Sirloin Steak,Honey Walnut Shrimp,Super Greens,White Rice}"
66,Plate,11.3,"{Black Pepper Sirloin Steak,Teriyaki Chicken,Chow Mein,Chow Mein}"
67,Plate,11.3,"{Black Pepper Sirloin Steak,Broccoli Beef,Chow Mein,Fried Rice}"
68,Plate,11.3,"{Black Pepper Sirloin Steak,Kung Pao Chicken,Chow Mein,White Rice}"
69,Plate,11.3,"{Black Pepper Sirloin Steak,Honey Sesame Chicken Breast,Fried Rice,Fried Rice}"
70,Plate,11.3,"{Black Pepper Sirloin Steak,Beijing Beef,Fried Rice,White Rice}"
71,Plate,11.3,"{Black Pepper Sirloin Steak,Mushroom Chicken,White Rice,White Rice}"
72,Plate,11.3,"{Black Pepper Sirloin Steak,SweetFire Chicken Breast,Super Greens,Super Greens}"
73,Plate,11.3,"{Black Pepper Sirloin Steak,String Bean Chicken Breast,Super Greens,Chow Mein}"
74,Plate,11.3,"{Black Pepper Sirloin Steak,Black Pepper Chicken,Super Greens,Fried Rice}"
75,Plate,11.3,"{Honey Walnut Shrimp,Honey Walnut Shrimp,Super Greens,White Rice}"
76,Plate,11.3,"{Honey Walnut Shrimp,Teriyaki Chicken,Chow Mein,Chow Mein}"
77,Plate,11.3,"{Honey Walnut Shrimp,Broccoli Beef,Chow Mein,Fried Rice}"
78,Plate,11.3,"{Honey Walnut Shrimp,Kung Pao Chicken,Chow Mein,White Rice}"
79,Plate,11.3,"{Honey Walnut Shrimp,Honey Sesame Chicken Breast,Fried Rice,Fried Rice}"
80,Plate,11.3,"{Honey Walnut Shrimp,Beijing Beef,Fried Rice,White Rice}"
81,Plate,11.3,"{Honey Walnut Shrimp,Mushroom Chicken,White Rice,White Rice}"
82,Plate,11.3,"{Honey Walnut Shrimp,SweetFire Chicken Breast,Super Greens,Super Greens}"
83,Plate,11.3,"{Honey Walnut Shrimp,String Bean Chicken Breast,Super Greens,Chow Mein}"
84,Plate,11.3,"{Honey Walnut Shrimp,Black Pepper Chicken,Super Greens,Fried Rice}"
85,Plate,9.8,"{Teriyaki Chicken,Teriyaki Chicken,Super Greens,White Rice}"
86,Plate,9.8,"{Teriyaki Chicken,Broccoli Beef,Chow Mein,Chow Mein}"
87,Plate,9.8,"{Teriyaki Chicken,Kung Pao Chicken,Chow Mein,Fried Rice}"
88,Plate,9.8,"{Teriyaki Chicken,Honey Sesame Chicken Breast,Chow Mein,White Rice}"
89,Plate,9.8,"{Teriyaki Chicken,Beijing Beef,Fried Rice,Fried Rice}"
90,Plate,9.8,"{Teriyaki Chicken,Mushroom Chicken,Fried Rice,White Rice}"
91,Plate,9.8,"{Teriyaki Chicken,SweetFire Chicken Breast,White Rice,White Rice}"
92,Plate,9.8,"{Teriyaki Chicken,String Bean Chicken Breast,Super Greens,Super Greens}"
93,Plate,9.8,"{Teriyaki Chicken,Black Pepper Chicken,Super Greens,Chow Mein}"
94,Plate,9.8,"{Broccoli Beef,Broccoli Beef,Super Greens,Fried Rice}"
95,Plate,9.8,"{Broccoli Beef,Kung Pao Chicken,Super Greens,White Rice}"
96,Plate,9.8,"{Broccoli Beef,Honey Sesame Chicken Breast,Chow Mein,Chow Mein}"
97,Plate,9.8,"{Broccoli Beef,Beijing Beef,Chow Mein,Fried Rice}"
98,Plate,9.8,"{Broccoli Beef,Mushroom Chicken,Chow Mein,White Rice}"
99,Plate,9.8,"{Broccoli Beef,SweetFire Chicken Breast,Fried Rice,Fried Rice}"
100,Plate,9.8,"{Broccoli Beef,String Bean Chicken Breast,Fried Rice,White Rice}"
101,Plate,9.8,"{Broccoli Beef,Black Pepper Chicken,White Rice,White Rice}"
102,Plate,9.8,"{Kung Pao Chicken,Kung Pao Chicken,Super Greens,Super Greens}"
103,Plate,9.8,"{Kung Pao Chicken,Honey Sesame Chicken Breast,Super Greens,Chow Mein}"
104,Plate,9.8,"{Kung Pao Chicken,Beijing Beef,Super Greens,Fried Rice}"
105,Plate,9.8,"{Kung Pao Chicken,Mushroom Chicken,Super Greens,White Rice}"
106,Plate,9.8,"{Kung Pao Chicken,SweetFire Chicken Breast,Chow Mein,Chow Mein}"
107,Plate,9.8,"{Kung Pao Chicken,String Bean Chicken Breast,Chow Mein,Fried Rice}"
108,Plate,9.8,"{Kung Pao Chicken,Black Pepper Chicken,Chow Mein,White Rice}"
109,Plate,9.8,"{Honey Sesame Chicken Breast,Honey Sesame Chicken Breast,Fried Rice,Fried Rice}"
110,Plate,9.8,"{Honey Sesame Chicken Breast,Beijing Beef,Fried Rice,White Rice}"
111,Plate,9.8,"{Honey Sesame Chicken Breast,Mushroom Chicken,White Rice,White Rice}"
112,Plate,9.8,"{Honey Sesame Chicken Breast,SweetFire Chicken Breast,Super Greens,Super Greens}"
113,Plate,9.8,"{Honey Sesame Chicken Breast,String Bean Chicken Breast,Super Greens,Chow Mein}"
114,Plate,9.8,"{Honey Sesame Chicken Breast,Black Pepper Chicken,Super Greens,Fried Rice}"
115,Plate,9.8,"{Beijing Beef,Beijing Beef,Super Greens,White Rice}"
116,Plate,9.8,"{Beijing Beef,Mushroom Chicken,Chow Mein,Chow Mein}"
117,Plate,9.8,"{Beijing Beef,SweetFire Chicken Breast,Chow Mein,Fried Rice}"
118,Plate,9.8,"{Beijing Beef,String Bean Chicken Breast,Chow Mein,White Rice}"
119,Plate,9.8,"{Beijing Beef,Black Pepper Chicken,Fried Rice,Fried Rice}"
120,Plate,9.8,"{Mushroom Chicken,Mushroom Chicken,Fried Rice,White Rice}"
121,Plate,9.8,"{Mushroom Chicken,SweetFire Chicken Breast,White Rice,White Rice}"
122,Plate,9.8,"{Mushroom Chicken,String Bean Chicken Breast,Super Greens,Super Greens}"
123,Plate,9.8,"{Mushroom Chicken,Black Pepper Chicken,Super Greens,Chow Mein}"
124,Plate,9.8,"{SweetFire Chicken Breast,SweetFire Chicken Breast,Super Greens,Fried Rice}"
125,Plate,9.8,"{SweetFire Chicken Breast,String Bean Chicken Breast,Super Greens,White Rice}"
126,Plate,9.8,"{SweetFire Chicken Breast,Black Pepper Chicken,Chow Mein,Chow Mein}"
127,Plate,9.8,"{String Bean Chicken Breast,String Bean Chicken Breast,Chow Mein,Fried Rice}"
128,Plate,9.8,"{String Bean Chicken Breast,Black Pepper Chicken,Chow Mein,White Rice}"
129,Plate,9.8,"{Black Pepper Chicken,Black Pepper Chicken,Fried Rice,Fried Rice}"
130,Plate,9.8,"{Original Orange Chicken,Original Orange Chicken,Fried Rice,White Rice}"
131,Plate,11.3,"{Original Orange Chicken,Black Pepper Sirloin Steak,White Rice,White Rice}"
132,Plate,11.3,"{Original Orange Chicken,Honey Walnut Shrimp,Super Greens,Super Greens}"
133,Plate,9.8,"{Original Orange Chicken,Teriyaki Chicken,Super Greens,Chow Mein}"
134,Plate,9.8,"{Original Orange Chicken,Broccoli Beef,Super Greens,Fried Rice}"
135,Plate,9.8,"{Original Orange Chicken,Kung Pao Chicken,Super Greens,White Rice}"
136,Plate,9.8,"{Original Orange Chicken,Honey Sesame Chicken Breast,Chow Mein,Chow Mein}"
137,Plate,9.8,"{Original Orange Chicken,Beijing Beef,Chow Mein,Fried Rice}"
138,Plate,9.8,"{Original Orange Chicken,Mushroom Chicken,Chow Mein,White Rice}"
139,Plate,9.8,"{Original Orange Chicken,SweetFire Chicken Breast,Fried Rice,Fried Rice}"
140,Plate,9.8,"{Original Orange Chicken,String Bean Chicken Breast,Fried Rice,White Rice}"
141,Plate,9.8,"{Original Orange Chicken,Black Pepper Chicken,White Rice,White Rice}"
142,Plate,11.3,"{Black Pepper Sirloin Steak,Black Pepper Sirloin Steak,Super Greens,Super Greens}"
143,Plate,11.3,"{Black Pepper Sirloin Steak,Honey Walnut Shrimp,Super Greens,Chow Mein}"
144,Plate,11.3,"{Black Pepper Sirloin Steak,Teriyaki Chicken,Super Greens,Fried Rice}"
145,Plate,11.3,"{Black Pepper Sirloin Steak,Broccoli Beef,Super Greens,White Rice}"
146,Plate,11.3,"{Black Pepper Sirloin Steak,Kung Pao Chicken,Chow Mein,Chow Mein}"
147,Plate,11.3,"{Black Pepper Sirloin Steak,Honey Sesame Chicken Breast,Chow Mein,Fried Rice}"
148,Plate,11.3,"{Black Pepper Sirloin Steak,Beijing Beef,Chow Mein,White Rice}"
149,Plate,11.3,"{Black Pepper Sirloin Steak,Mushroom Chicken,Fried Rice,Fried Rice}"
