OrderID,TotalCost,Items,OrderDate
0,,{4354},2024-08-15 10:02:15
1,,{961},2024-08-15 10:04:30
2,,{4848},2024-08-15 10:06:45
3,,{559},2024-08-15 10:09:00
4,,{3878},2024-08-15 10:11:15
5,,{3610},2024-08-15 10:13:30
6,,{3106},2024-08-15 10:15:45
7,,{1399},2024-08-15 10:18:00
8,,{896},2024-08-15 10:20:15
9,,{3472},2024-08-15 10:22:30
10,,"{3788, 5306, 4107}",2024-08-15 10:24:45
11,,{3306},2024-08-15 10:27:00
12,,{159},2024-08-15 10:29:15
13,,{1774},2024-08-15 10:31:30
14,,{4099},2024-08-15 10:33:45
15,,{4971},2024-08-15 10:36:00
16,,{5089},2024-08-15 10:38:15
17,,{1327},2024-08-15 10:40:30
18,,{3203},2024-08-15 10:42:45
19,,{4076},2024-08-15 10:45:00
20,,{1616},2024-08-15 10:47:15
21,,{3857},2024-08-15 10:49:30
22,,{2963},2024-08-15 10:51:45
23,,{891},2024-08-15 10:54:00
24,,{2705},2024-08-15 10:56:15
25,,{523},2024-08-15 10:58:30
26,,{4480},2024-08-15 11:00:45
27,,"{1090, 4149, 4154}",2024-08-15 11:03:00
28,,{3123},2024-08-15 11:05:15
29,,{1980},2024-08-15 11:07:30
30,,{2303},2024-08-15 11:09:45
31,,{4299},2024-08-15 11:12:00
32,,{1190},2024-08-15 11:14:15
33,,{3251},2024-08-15 11:16:30
34,,{1267},2024-08-15 11:18:45
35,,{4241},2024-08-15 11:21:00
36,,{3700},2024-08-15 11:23:15
37,,{2092},2024-08-15 11:25:30
38,,"{4104, 4268}",2024-08-15 11:27:45
39,,{4658},2024-08-15 11:30:00
40,,{2944},2024-08-15 11:32:15
41,,{3719},2024-08-15 11:34:30
42,,{2178},2024-08-15 11:36:45
43,,{4450},2024-08-15 11:39:00
44,,{2954},2024-08-15 11:41:15
45,,{2105},2024-08-15 11:43:30
46,,{3578},2024-08-15 11:45:45
47,,{3650},2024-08-15 11:48:00
48,,{1390},2024-08-15 11:50:15
49,,{621},2024-08-15 11:52:30
50,,{3018},2024-08-15 11:54:45
51,,"{2987, 3518}",2024-08-15 11:57:00
52,,{1909},2024-08-15 11:59:15
53,,{2126},2024-08-15 12:01:30
54,,{3763},2024-08-15 12:03:45
55,,{2549},2024-08-15 12:06:00
56,,{3450},2024-08-15 12:08:15
57,,{5107},2024-08-15 12:10:30
58,,{4580},2024-08-15 12:12:45
59,,{5117},2024-08-15 12:15:00
60,,{5202},2024-08-15 12:17:15
61,,{1498},2024-08-15 12:19:30
62,,{3901},2024-08-15 12:21:45
63,,{3904},2024-08-15 12:24:00
64,,{1844},2024-08-15 12:26:15
65,,{4397},2024-08-15 12:28:30
66,,{560},2024-08-15 12:30:45
67,,{1969},2024-08-15 12:33:00
68,,{4726},2024-08-15 12:35:15
69,,{1161},2024-08-15 12:37:30
70,,{3451},2024-08-15 12:39:45
71,,{1460},2024-08-15 12:42:00
72,,{1054},2024-08-15 12:44:15
